1,TARSICIO, VEGA, CANO,CALLE TABASCO ,148,96825,Iztapalapa,15-Apr-2017,apudan0@oracle.com,5587740104,/home/fotos/foto9006.jpg
2,PAULA, CORTÉS, LOZANO,PENNSYLVANIA ,67,52808,Azcapotzalco,28-Nov-2015,sjodlkowski1@mail.ru,5518494334,/home/fotos/foto8869.jpg
3,AURELIA, CABRERA, CALVO,HUERTAS ,494,46656,Iztacalco,04-May-2016,kmcewen2@bbb.org,5534996493,/home/fotos/foto7306.jpg
4,ORIOL, VÁZQUEZ, CAMBIL,CARTILLA ,310,53657,Gustavo A. Madero,15-Jan-2018,shehnke3@nationalgeographic.com,5534653176,/home/fotos/foto9311.jpg
5,JOSEFA, DÍEZ, AGUILAR,CAMPO FLORIDO ,305,37537,Benito Juárez,18-Jun-2016,cswayne4@buzzfeed.com,5503469316,/home/fotos/foto4681.jpg
6,BALDOMERO, DELGADO, CORTÉS,NUEVA TABACHIN ,93,52242,Álvaro Obregón,05-Mar-2016,dprettjohn5@mlb.com,5585198479,/home/fotos/foto0017.jpg
7,EDGAR, CAMPOS, PEÑA,CDA. DE FRANCISCO CASTAÑEDA ,224,47866,Benito Juárez,31-Jul-2017,btatlow6@mapquest.com,5531108966,/home/fotos/foto7034.jpg
8,ROCÍO, RUBIO, RAMÍREZ,YUCATAN ,27,90771,Milpa Alta,24-Jul-2018,gcartmael7@admin.ch,5584494720,/home/fotos/foto4530.jpg
9,CEFERINO, MARTÍNEZ, HIDALGO,CALLEJON PACHECO ,134,51533,Gustavo A. Madero,25-Jun-2015,otharme8@github.com,5556437562,/home/fotos/foto2016.jpg
10,AQUILES, GUERRERO, LORENZO,SAN FRANCISCO ,75,16483,Álvaro Obregón,05-Feb-2017,inorton9@census.gov,5544235709,/home/fotos/foto8964.jpg
11,MERCEDES, CRUZ, SÁEZ,AV. CRISTOBAL HIDALGO ,477,96983,Cuauhtémoc,28-Nov-2017,amcgilvraa@shop-pro.jp,5525842279,/home/fotos/foto4697.jpg
12,MARCELINO, RAMOS, CABRERA,CALLE GARDENIA ,115,57456,Benito Juárez,24-Oct-2018,cpavieb@hubpages.com,5549059965,/home/fotos/foto4547.jpg
13,BONIFACIO, PEÑA, RUIZ,BOLIVAR ,154,68142,Xochimilco,07-Aug-2015,gupwoodc@dagondesign.com,5564591168,/home/fotos/foto8790.jpg
14,DARIO, SÁEZ, CALVO,REAL DE LA ARBOLEDA ,143,55378,Coyoacán,14-Feb-2016,kcritchd@vkontakte.ru,5588868378,/home/fotos/foto5680.jpg
15,LEOCADIA, ROMERO, LEÓN,LAGO PATZCUARO ,149,02904,Tláhuac,02-Apr-2017,nsimonuttie@princeton.edu,5564463023,/home/fotos/foto9834.jpg
16,ÁNGELA, IBÁÑEZ, BRAVO,CALLE CUAUHTEMOC ,6,43593,Benito Juárez,10-Nov-2018,sgreschf@cloudflare.com,5579626352,/home/fotos/foto1799.jpg
17,RAFAEL, RUIZ, CAMPOS,ALDAMA ,258,88153,Azcapotzalco,22-Nov-2018,bcumesg@omniture.com,5585500710,/home/fotos/foto9179.jpg
18,XAVIER, MÁRQUEZ, PASCUAL,LOMA DE GUADALUPE ,175,49552,Azcapotzalco,12-Apr-2018,lpickringh@home.pl,5599345953,/home/fotos/foto8129.jpg
19,TADEO, REYES, MARÍN,ANDADOR PUENTE MONZON ,66,37768,Magdalena Contreras,05-Dec-2015,doshavlani@state.tx.us,5549712799,/home/fotos/foto4676.jpg
20,EULALIA, PARRA, REYES,NESMEL ,252,86909,Venustiano Carranza,12-Jan-2018,cmarioneauj@csmonitor.com,5504152396,/home/fotos/foto3026.jpg
21,GUZMÁN, GUTIÉRREZ, RAMÍREZ,CUAUTITLAN ,26,47803,Azcapotzalco,23-Aug-2017,gcristofork@imageshack.us,5528894542,/home/fotos/foto5850.jpg
22,HONORATO, VICENTE, MOYA,3A. CERRADA DE SOLIDARIDAD ,437,73087,Cuauhtémoc,11-Dec-2015,cspeakel@51.la,5584635062,/home/fotos/foto7910.jpg
23,JUSTINO, SANTOS, IGLESIAS,GUERRERO ,271,41362,Iztacalco,12-May-2015,zmuckersiem@surveymonkey.com,5506528640,/home/fotos/foto2068.jpg
24,ALEJANDRO, SANTIAGO, SANTIAGO,SUR 67 ,298,90021,Tlalpan,28-Oct-2015,ialcottn@google.de,5503515212,/home/fotos/foto2105.jpg
25,MARCOS, CARMONA, MORA,CALLE 8 ,199,87308,Tlalpan,04-Jun-2017,rbrockingo@smugmug.com,5592743514,/home/fotos/foto0408.jpg
26,ALFONSO, RODRÍGUEZ, FLORES,CONVENTO ,446,99489,Iztapalapa,30-Jan-2017,nbarefootp@mac.com,5510682780,/home/fotos/foto6816.jpg
27,BENEDICTO, ESTEBAN, FERRER,BRUSELAS ,364,57130,Iztapalapa,26-Jan-2017,scarlssonq@phoca.cz,5564249995,/home/fotos/foto5174.jpg
28,HOMERO, HIDALGO, GIL,PRIVADA AZOYAPAN ,481,54904,Cuajimalpa de Morelos,04-Oct-2018,hkarler@huffingtonpost.com,5541566546,/home/fotos/foto0293.jpg
29,TARSICIO, IGLESIAS, TORRES,EJIDO MAGDALENA PETLACALCO ,23,36599,Milpa Alta,17-Jan-2015,khousbys@networkadvertising.org,5535882652,/home/fotos/foto5182.jpg
30,BENJAMÍN, MONTERO, RODRÍGUEZ,AMAPOLA ,188,38731,Xochimilco,18-Jul-2016,wlackneyt@theguardian.com,5509134520,/home/fotos/foto3729.jpg
